_id,_type,_masterGroupId,_seasonNumber,_chapterNumber,_name,_summary,_imageName,_masterReleaseLabelId
119999,2,100,1,1,與µ's見面,"曜， 成員的新聞社，were asked至interview 學園偶像 group ""µ's"" as last-minute substitute為friend。When you arrived at 演唱會 venue， girls greeted you warmly...",chap_119999,1
129999,2,200,1,1,與Aqours見面,"曜， 成員的新聞社，were asked至interview 學園偶像 group ""Aqours"" as last-substitute為你的friend。When you arrived at 演唱會 venue， girls greeted you warmly…",chap_129999,1
139999,2,300,1,1,與虹咲見面,"曜， 成員的新聞社，were asked至interview 學園偶像 group ""虹咲學園學園偶像同好會"" as last-minute substitute為你的friend。When you arrived at 演唱會 venue， girls greeted you warmly...",chap_139999,1
149999,2,400,1,1,與Liella!見面,"曜， 成員的新聞社，were asked至interview 學園偶像 group ""Liella!"" as last-substitute為你的friend。When you arrived at 演唱會 venue， girls greeted you warmly…",chap_149999,1
120003,3,200,1,5,Happy New Year來自Awashima!,千歌 counts down remaining days as she can't wait為New Year。Aqours doesn't have any 指定 plans為holidays 當 鞠莉 makes her suggestion: countdown與new year's party at Hotel Ohara!,chap_120003,223123105
130003,3,300,1,5,Who Will Get Chocolate?!,"When Ranju learns that Valentine's Day於Japan is day至give chocolate至""special person,"" she throws stone at 虹咲學園學園偶像同好會 成員，who are all planning至make與bring their own chocolates。Ranju asks，""Why don't you give chocolates至你的'special someone'?　What are you going至do yu?""",chap_130003,224013105
140003,3,400,1,5,Pit--pat School Information Session,戀 pulls everyone together為important discussion。With thumping hearts，they listen as she informs them that school information session is coming up。Nominated至take 付費，can four second-year 學生s pull it off?!,chap_140003,223103106
110003,3,100,1,5,Christmas Parties Are Best!,Gazing at Akihabara adorned於Christmas mood，穗乃果 suggests having Christmas party與everyone於μ's。While party makes everyone look back on their year，繪里 says they're not quite done?!,chap_110003,223113006
210001,1,100,1,3,每日 Life的μ's,Lighthearted stories surrounding ordinary lives的those於學園偶像 group，µ's.,,1
220001,1,200,1,3,每日 Life的Aqours,Lighthearted stories surrounding ordinary lives的those於學園偶像 group，Aqours.,,1
230001,1,300,1,3,每日 Life的虹咲,Lighthearted stories surrounding ordinary lives的those於虹咲學園學園偶像同好會.,chap_230001,1
240001,1,400,1,3,每日 Life的Liella!,Lighthearted stories surrounding ordinary lives的those於學園偶像 group，Liella!,,1
230002,1,300,1,5,Love 歌曲透過Me (步夢 Edition),"步夢 receives invitation至Love 歌曲 Carnival。She's working hard on lyrics，but she can't seem至find ""it""...",chap_230002,223090601
230003,1,300,1,5,Love 歌曲透過Me (霞 Edition),霞 receives invitation至Love 歌曲 Carnival。She can hardly contain her exc道具ent as she aspires至thoroughly depict her ideal love 劇情.,chap_230002,223090601
230004,1,300,1,5,Love 歌曲透過Me (雫 Edition),雫 receives invitation至Love 歌曲 Carnival。Despite watching movie與步夢至gather ideas，their talk afterwards may have been inspiration she needed all along...,chap_230002,223090601
230005,1,300,1,5,Love 歌曲透過Me (果林 Edition),果林 receives invitation至Love 歌曲 Carnival。 other 成員 expect mature，cool，dramatic tone來自果林's love 歌曲，but do they have wrong idea?,chap_230002,223090601
230006,1,300,1,5,Love 歌曲透過Me (愛 Edition),愛 receives invitation至Love 歌曲 Carnival。愛 prides herself on spreading love至entire world，but she wants至change things up this time！It is possible至direct that abundance的love至one person only?,chap_230002,223090601
230007,1,300,1,5,Love 歌曲透過Me (彼方 Edition),"彼方 receives invitation至Love 歌曲 Carnival，but she is having 難度 understanding what ""love"" even is。Please，someone teach this girl few things about love!",chap_230002,223090601
230008,1,300,1,5,Love 歌曲透過Me (雪菜 Edition),雪菜 receives invitation至Love 歌曲 Carnival。Even after studying love來自novels與anime，she struggles至apply that至her own feelings。Can 雫 give her some helpful advice?,chap_230002,223090601
230009,1,300,1,5,Love 歌曲透過Me (艾瑪 Edition),艾瑪 receives invitation至Love 歌曲 Carnival。Stressing over lack的inspiration為her love 歌曲，she wanders into club room。There，she finds 嵐珠 more than willing至help!,chap_230002,223090601
230010,1,300,1,5,Love 歌曲透過Me (璃奈 Edition),璃奈 receives invitation至Love 歌曲 Carnival。While other 成員 waver on what至write about，璃奈 has already decided?!,chap_230002,223090601
230011,1,300,1,5,Love 歌曲透過Me (栞子 Edition),"栞子 receives invitation至Love 歌曲 Carnival與asks 霞 what sort的love she might be suited 為，至 which 霞 provides unexpected answer。"" overly attached girlfriend?！No way!!!""",chap_230002,223090601
230012,1,300,1,5,Love 歌曲透過Me (米雅 Edition),米雅 receives invitation至Love 歌曲 Carnival。With all her 歌曲writing experience，making love 歌曲 should only take second！Or so she thought...,chap_230002,223090601
230013,1,300,1,5,Love 歌曲透過Me (嵐珠 Edition),嵐珠 receives invitation至Love 歌曲 Carnival。When puzzled 米雅 asks her whether she comprehends love，she confidently offers 米雅 some tips.,chap_230002,223090601
